Машины марк;Үнэ;Моторын багтаамж;Хурдны хайрцаг;Хүрд;Төрөл;Өнгө;Үйлдвэрлэсэн он;Орж ирсэн он;Хөдөлгүүр;Дотор өнгө;Лизинг;Хаяг;Хөтлөгч;Явсан;Нөхцөл;Хаалга
Toyota Aqua, 2014/2020;13 сая ₮;1.3 л;Автомат;Буруу;Суудлын тэрэг;Саарал;2014;2020;Хайбрид;Хар;Лизинггүй;nan;Урдаа FWD;180000 км.;Дугаар авсан;4
Toyota Hilux, 2015/2015;76 сая ₮;2.4 л;Механик;Зөв;Жийп;Саарал;2015;2015;Дизель;Саарал;ББСБ лизингтэй;БЗД;Бүх дугуй 4WD;140000 км.;Дугаар авсан;4
Toyota Highlander, 2010/2012;35 сая ₮;3.5 л;Автомат;Зөв;Жийп;Хар саарал;2010;2012;Бензин;Саарал;Лизинггүй;БГД;Бүх дугуй 4WD;109000 км.;Дугаар авсан;5
Toyota Prius 40, 41, 2014/2020;27 сая ₮;1.8 л;Автомат;Буруу;Гэр бүлийн;Хар;2014;2020;Хайбрид;Хар;Лизинггүй;Баянгол дүүрэгт;Урдаа FWD;120000 км.;Дугаар авсан;4
Nissan Patrol, 2012/2013;87 сая ₮;5.6 л;Автомат;Зөв;Жийп;Саарал;2012;2013;Бензин;Шаргал;Лизинггүй;зайсан;Бүх дугуй 4WD;140000 км.;Дугаар авсан;5
Hyundai Sonata, 2012/2018;7 сая ₮;2.0 л;Автомат;Зөв;Суудлын тэрэг;Саарал;2012;2018;Газ;Хар;Лизинггүй;Гурвалжингийн гүүр.;Урдаа FWD;1111111 км.;Дугаар авсан;4
Toyota Prius 30, 2012/2022;24 сая ₮;1.8 л;Автомат;Буруу;Суудлын тэрэг;Хар;2012;2022;Хайбрид;Хар;ББСБ лизингтэй;Хорооллын эцэс Баянхошуу;Урдаа FWD;100000 км.;Дугаар авсан;4
Toyota Prius 30, 2012/2021;20.5 сая ₮;1.8 л;Автомат;Буруу;Суудлын тэрэг;Бусад;2012;2021;Хайбрид;Бусад;Лизинггүй;nan;Урдаа FWD;165000 км.;Дугаар авсан;5
Toyota Prius 30, 2010/2015;17 сая ₮;1.8 л;Автомат;Буруу;Суудлын тэрэг;Цагаан;2010;2015;Бензин;Бусад;Лизинггүй;nan;Урдаа FWD;200000 км.;Дугаар авсан;4
Nissan Pathfinder, 2007/2013;10 сая ₮;2.5 л;Механик;Буруу;Жийп;Саарал;2007;2013;Дизель;Саарал;Лизинггүй;Ulaanbaatar;Бүх дугуй 4WD;106140 км.;Дугаар авсан;5
Toyota Alphard, 2008/2020;20 сая ₮;2.4 л;Автомат;Буруу;Гэр бүлийн;Хар;2008;2020;Бензин;Саарал;Лизинггүй;УБ хот;Урдаа FWD;180000 км.;Дугаар авсан;5
Toyota Crown, 2014/2021;48 сая ₮;3.5 л;Автомат;Буруу;Суудлын тэрэг;Хар;2014;2021;Бензин;Хар;Лизинггүй;nan;Бүх дугуй 4WD;220 км.;Дугаар авсан;5
Toyota Land Cruiser 200, 2014/2014;130 сая ₮;4.4 л;Автомат;Зөв;Жийп;Хар;2014;2014;Дизель;Хар;Лизинггүй;nan;Бүх дугуй 4WD;114155 км.;Дугаар авсан;5
Toyota Kluger, 2019/2023;85 сая ₮;3.5 л;Автомат;Буруу;Жийп;Хар саарал;2019;2023;Бензин;Хар;ББСБ лизингтэй;Zaisan;Урдаа FWD;128723 км.;Дугаар аваагүй;5
Nissan Patrol, 2004/2013;31 сая ₮;3.0 л;Механик;Буруу;Жийп;Хар;2004;2013;Дизель;Хар;Лизинггүй;ub;Бүх дугуй 4WD;165000 км.;Дугаар авсан;5
Toyota Aqua, 2013/2023;18.5 сая ₮;1.5 л;Автомат;Буруу;Суудлын тэрэг;Хөх;2013;2023;Хайбрид;Хар;Лизинггүй;ХУД ЗАЙСАН;Урдаа FWD;171 км.;Дугаар аваагүй;5
Audi Бусад, 2020/2023;120 сая ₮;2.0 л;Автомат;Зөв;Суудлын тэрэг;Хар;2020;2023;Бензин;Хар;Лизинггүй;River Garden;Бүх дугуй 4WD;75000 км.;Дугаар авсан;4
Toyota Sai, 2010/2023;24 сая ₮;2.4 л;Автомат;Буруу;Суудлын тэрэг;Цагаан;2010;2023;Бензин;Бор;ББСБ лизингтэй;ub;Урдаа FWD;146000 км.;Дугаар авсан;5
Ford Explorer, 2016/2022;90 сая ₮;3.5 л;Автомат;Зөв;Жийп;Цэнхэр;2016;2022;Бензин;Хар;Банкны лизингтэй;baynmongol;Бүх дугуй 4WD;150 км.;Дугаар авсан;5
Nissan Cube, 2012/2017;8 сая ₮;1.5 л;Автомат;Буруу;Суудлын тэрэг;Саарал;2012;2017;Бензин;Хар;Лизинггүй;Бзд 16 хороо;Урдаа FWD;140000 км.;Дугаар авсан;5
Lexus HS, 2010/2022;29 сая ₮;2.5 л;Автомат;Буруу;Суудлын тэрэг;Хар;2010;2022;Хайбрид;Хар;Лизинггүй;Сбд 100 айл;Урдаа FWD;130000 км.;Дугаар авсан;4
Toyota Prius 40, 41, 2013/2021;25.5 сая ₮;1.8 л;Автомат;Буруу;Гэр бүлийн;Цэнхэр;2013;2021;Хайбрид;Хар;ББСБ лизингтэй;уб;Урдаа FWD;190000 км.;Дугаар авсан;5
Porsche Cayenne, 2013/2023;130 сая ₮;3.0 л;Автомат;Зөв;Жийп;Хар;2013;2023;Бензин;Хар;ББСБ лизингтэй;nan;Бүх дугуй 4WD;1000 км.;Дугаар аваагүй;5
Lexus RX, 2013/2020;68 сая ₮;3.5 л;Автомат;Зөв;Жийп;Хар саарал;2013;2020;Бензин;Бор;Банкны лизингтэй;Hermes;Бүх дугуй 4WD;120000 км.;Дугаар авсан;5
Toyota Land Cruiser Prado, 2018/2021;115 сая ₮;2.7 л;Автомат;Буруу;Жийп;Цагаан;2018;2021;Бензин;Цагаан шар;Лизинггүй;Улаанбаатар Сүхбаатар;Бүх дугуй 4WD;50 км.;Дугаар авсан;5
Toyota Prius 30, 2012/2023;32 сая ₮;1.8 л;Автомат;Зөв;Суудлын тэрэг;Саарал;2012;2023;Хайбрид;Хар;ББСБ лизингтэй;Сүхбаатар;Урдаа FWD;2100000 км.;Дугаар аваагүй;5
Suzuki Jimny, 2019/2020;66 сая ₮;1.5 л;Автомат;Зөв;Жийп;Хар;2019;2020;Бензин;Хар;ББСБ лизингтэй;УБ ХУД НҮХТ;Бүх дугуй 4WD;50 км.;Дугаар авсан;3
Toyota Prius 30, 2010/2021;18 сая ₮;1.8 л;Автомат;Буруу;Гэр бүлийн;Хар;2010;2021;Бензин;Хар;ББСБ лизингтэй;Чингэлтэй;Урдаа FWD;267550 км.;Дугаар авсан;4
Toyota Prius 40, 41, 2012/2023;31 сая ₮;1.8 л;Автомат;Буруу;Гэр бүлийн;Сувдан цагаан;2012;2023;Хайбрид;Саарал;Лизинггүй;УБ;Урдаа FWD;116500 км.;Дугаар авсан;4
Honda Insight, 2009/2018;7.9 сая ₮;1.5 л;Автомат;Зөв;Суудлын тэрэг;Саарал;2009;2018;Хайбрид;Саарал;Лизинггүй;Баянгол дүүрэг 9-р хороо;Урдаа FWD;190000 км.;Дугаар авсан;5
Subaru Forester, 2013/2023;34 сая ₮;2.0 л;Автомат;Буруу;Жийп;Цагаан;2013;2023;Бензин;Хар;Лизинггүй;ард кино театр;Бүх дугуй 4WD;190000 км.;Дугаар авсан;5
Toyota Kluger, 2002/2011;12.8 сая ₮;2.4 л;Автомат;Буруу;Жийп;Хар;2002;2011;Бензин;Хар;Лизинггүй;ulaanbaatar;Урдаа FWD;1000000 км.;Дугаар авсан;5
Toyota Aqua, 2012/2022;6 сая ₮;3.0 л;Автомат;Буруу;Суудлын тэрэг;Саарал;2012;2022;Бензин;Саарал;ББСБ лизингтэй;7buudal;Хойноо RWD;33 км.;Дугаар авсан;4
Lexus RX, 2011/2022;65 сая ₮;2.5 л;Автомат;Буруу;Суудлын тэрэг;Цагаан;2011;2022;Бензин;Цагаан шар;Лизинггүй;sansar;Урдаа FWD;111111 км.;Дугаар авсан;4
Toyota Harrier, 2003/2013;17 сая ₮;2.4 л;Автомат;Буруу;Жийп;Саарал;2003;2013;Бензин;Хар;Лизинггүй;Увс, Улаангом;Бүх дугуй 4WD;250000 км.;Дугаар авсан;5
Toyota Axio, 2012/2018;15 сая ₮;1.8 л;Автомат;Буруу;Суудлын тэрэг;Цагаан;2012;2018;Бензин;Шаргал;Лизинггүй;БЗД;Бүх дугуй 4WD;250000 км.;Дугаар авсан;4
Toyota Axio, 2014/2022;19 сая ₮;1.5 л;Автомат;Буруу;Суудлын тэрэг;Цагаан;2014;2022;Бензин;Саарал;Лизинггүй;Сэлэнгэ аймаг ерөө суманд байна;Урдаа FWD;163593 км.;Дугаар авсан;4
Toyota Land Cruiser Prado, 2018/2023;132 сая ₮;2.7 л;Автомат;Буруу;Жийп;Цагаан;2018;2023;Бензин;Хар;Банкны лизингтэй;яармаг;Бүх дугуй 4WD;62000 км.;Дугаар аваагүй;5
Lexus RX, 2009/2016;43 сая ₮;3.5 л;Автомат;Буруу;Жийп;Хүрэн;2009;2016;Хайбрид;Бусад;ББСБ лизингтэй;бзд;Бүх дугуй 4WD;140000 км.;Дугаар авсан;6
Subaru Impreza, 2011/2017;7.5 сая ₮;1.5 л;Автомат;Буруу;Суудлын тэрэг;Саарал;2011;2017;Бензин;Хар;Лизинггүй;Орхон;Бүх дугуй 4WD;200000 км.;Дугаар авсан;5
Toyota Camry, 2016/2023;35 сая ₮;2.5 л;Автомат;Буруу;Суудлын тэрэг;Цагаан;2016;2023;Хайбрид;Хар;Лизинггүй;Модны 2;Урдаа FWD;165000 км.;Дугаар авсан;4
Lexus RX, 2006/2022;38.5 сая ₮;3.5 л;Автомат;Зөв;Жийп;Саарал;2006;2022;Бензин;Хар;Лизинггүй;Хүүхдийн 100;Бүх дугуй 4WD;113000 км.;Дугаар авсан;5
Toyota Hilux, 1999/2007;20 сая ₮;2.7 л;Автомат;Буруу;Жийп;Цэнхэр;1999;2007;Бензин;Хар;Лизинггүй;bayanburd;Бүх дугуй 4WD;200000 км.;Дугаар авсан;5
Lexus IS, 2014/2021;38 сая ₮;2.5 л;Автомат;Буруу;Суудлын тэрэг;Цагаан;2014;2021;Хайбрид;Хар;Лизинггүй;Баянгол дүүрэг Богд ар;Хойноо RWD;180 км.;Дугаар авсан;4
Toyota Harrier, 2014/2022;65 сая ₮;2.5 л;Автомат;Буруу;Жийп;Цэнхэр;2014;2022;Хайбрид;Хар;Лизинггүй;ХУД 15-р хороо Хоме плаза;Бүх дугуй 4WD;95000 км.;Дугаар авсан;5
Toyota Prius 40, 41, 2012/2020;26 сая ₮;1.8 л;Автомат;Буруу;Суудлын тэрэг;Сувдан цагаан;2012;2020;Хайбрид;Хар;ББСБ лизингтэй;офицер;Урдаа FWD;180 км.;Дугаар авсан;5
Toyota Mark, 1997/2006;35 сая ₮;2.5 л;Механик;Буруу;Суудлын тэрэг;Бор;1997;2006;Бензин;Цагаан шар;Лизинггүй;Delgerh;Хойноо RWD;245315 км.;Дугаар авсан;5
Toyota Land Cruiser 200, 2008/2010;92 сая ₮;5.2 л;Автомат;Зөв;Жийп;Саарал;2008;2010;Бензин;Саарал;Лизинггүй;nan;Бүх дугуй 4WD;999999 км.;Дугаар авсан;4
Toyota Prius 20, 2008/2017;11.8 сая ₮;1.8 л;Автомат;Буруу;Суудлын тэрэг;Цагаан;2008;2017;Бензин;Саарал;Лизинггүй;БГД;Урдаа FWD;234000 км.;Дугаар авсан;5
Toyota Prius 20, 2005/2023;19.5 сая ₮;1.5 л;Автомат;Буруу;Суудлын тэрэг;Саарал;2005;2023;Хайбрид;Хар;Лизинггүй;CHD;Урдаа FWD;1500000 км.;Дугаар авсан;5
Toyota Camry, 2012/2023;33 сая ₮;2.5 л;Автомат;Буруу;Суудлын тэрэг;Цайвар цэнхэр;2012;2023;Хайбрид;Хар;ББСБ лизингтэй;Бзд;Урдаа FWD;130000 км.;Дугаар авсан;4
Toyota Harrier, 2008/2015;28 сая ₮;3.3 л;Автомат;Буруу;Жийп;Саарал;2008;2015;Хайбрид;Хар;Лизинггүй;Ulaanbaatar;Бүх дугуй 4WD;252 км.;Дугаар авсан;5
Toyota Highlander, 2016/2021;105 сая ₮;3.5 л;Автомат;Зөв;Жийп;Цэнхэр;2016;2021;Бензин;Саарал;Лизинггүй;Хан-Уул;Бүх дугуй 4WD;126000 км.;Дугаар авсан;5
Toyota Prius 30, 2012/2021;21 сая ₮;1.8 л;Автомат;Буруу;Суудлын тэрэг;Саарал;2012;2021;Хайбрид;Хар;Лизинггүй;Бзд;Урдаа FWD;15000 км.;Дугаар авсан;4
Toyota Land Cruiser 100, 2005/2011;45 сая ₮;4.5 л;Автомат;Зөв;Жийп;Цагаан;2005;2011;Бензин;Шаргал;Лизинггүй;nan;Бүх дугуй 4WD;133 км.;Дугаар авсан;4
Toyota Alphard, 2014/2023;60 сая ₮;3.5 л;Автомат;Буруу;Гэр бүлийн;Хар;2014;2023;Бензин;Шаргал;Лизинггүй;3-аар эмнэлэг;Урдаа FWD;95000 км.;Дугаар аваагүй;5
Lexus NX, 2016/2023;73 сая ₮;2.5 л;Автомат;Буруу;Жийп;Цагаан;2016;2023;Хайбрид;Хар;Банкны лизингтэй;ХУД;Урдаа FWD;103000 км.;Дугаар аваагүй;5
Dodge Challenger, 2017/2019;150 сая ₮;3.6 л;Механик;Зөв;Суудлын тэрэг;Хар саарал;2017;2019;Бензин;Хар;Лизинггүй;Ulaanbaatar;Хойноо RWD;30000 км.;Дугаар авсан;2
Lexus RX, 2011/2023;58 сая ₮;3.5 л;Автомат;Буруу;Жийп;Хар;2011;2023;Хайбрид;Цагаан шар;Банкны лизингтэй;ХУД;Бүх дугуй 4WD;120000 км.;Дугаар аваагүй;5
Lexus CT, 2010/2023;29.3 сая ₮;1.8 л;Автомат;Буруу;Суудлын тэрэг;Сувдан цагаан;2010;2023;Хайбрид;Хар;Банкны лизингтэй;Bzd amanhuur;Урдаа FWD;220000 км.;Дугаар аваагүй;5
Toyota Prius 30, 2010/2023;24 сая ₮;1.8 л;Автомат;Буруу;Суудлын тэрэг;Саарал;2010;2023;Хайбрид;Саарал;Банкны лизингтэй;Хан-Уул 23-р хороо;Урдаа FWD;195000 км.;Дугаар аваагүй;5
Toyota Sai, 2010/2022;23.8 сая ₮;2.4 л;Автомат;Буруу;Суудлын тэрэг;Саарал;2010;2022;Хайбрид;Саарал;Лизинггүй;БЗД;Урдаа FWD;16500000 км.;Дугаар авсан;5
Toyota Crown, 2019/2022;80 сая ₮;2.5 л;Автомат;Буруу;Суудлын тэрэг;Цайвар цэнхэр;2019;2022;Хайбрид;Хар;ББСБ лизингтэй;22 шинэ авто зах;Хойноо RWD;29000 км.;Дугаар аваагүй;4
Mitsubishi L200, 2006/2022;30 сая ₮;2.5 л;Механик;Буруу;Жийп;Саарал;2006;2022;Дизель;Саарал;Банкны лизингтэй;БГД 4 хороололын эцэс;Бүх дугуй 4WD;11111 км.;Дугаар аваагүй;4
Toyota Hilux, 2006/2022;53 сая ₮;2.7 л;Автомат;Буруу;Жийп;Хар;2006;2022;Бензин;Саарал;Лизинггүй;Bzd;Бүх дугуй 4WD;190000 км.;Дугаар авсан;4
Toyota Hilux, 2005/2022;49 сая ₮;2.7 л;Автомат;Буруу;Жийп;Саарал;2005;2022;Бензин;Саарал;ББСБ лизингтэй;Sain Motors;Бүх дугуй 4WD;191000 км.;Дугаар авсан;5
Lexus RX, 2012/2023;75 сая ₮;3.5 л;Автомат;Буруу;Жийп;Хар;2012;2023;Хайбрид;Бор;Банкны лизингтэй;Sain Motors;Бүх дугуй 4WD;138000 км.;Дугаар аваагүй;5
Mitsubishi Delica, 2009/2018;15 сая ₮;2.4 л;Автомат;Буруу;Гэр бүлийн;Хар;2009;2018;Бензин;Хар;Лизинггүй;horoolol;Урдаа FWD;150000 км.;Дугаар авсан;5
Lexus NX, 2019/2023;90 сая ₮;3.0 л;Автомат;Буруу;Жийп;Цагаан;2019;2023;Хайбрид;Хар;Банкны лизингтэй;nan;Бүх дугуй 4WD;44600 км.;Дугаар аваагүй;5
Volkswagen Touareg, 2013/2022;65 сая ₮;3.0 л;Автомат;Буруу;Жийп;Цагаан;2013;2022;Бензин;Цагаан шар;Хувь лизингтэй;Ulaanbaatar;Урдаа FWD;200183 км.;Дугаар авсан;5
Toyota Prius 40, 41, 2014/2022;29 сая ₮;1.8 л;Автомат;Буруу;Суудлын тэрэг;Цагаан;2014;2022;Бензин;Хар;Лизинггүй;ХУД, 15-р хороо, Хансвилл хотхон;Урдаа FWD;200000 км.;Дугаар авсан;4
Lexus NX, 2016/2023;83 сая ₮;2.5 л;Автомат;Буруу;Жийп;Сувдан цагаан;2016;2023;Бензин;Бусад;Банкны лизингтэй;Ulaanbaatar;Бүх дугуй 4WD;110 км.;Дугаар авсан;5
Toyota Prius 30, 2012/2022;24 сая ₮;1.8 л;Автомат;Буруу;Суудлын тэрэг;Цагаан;2012;2022;Хайбрид;Хар;Лизинггүй;25;Урдаа FWD;1500000 км.;Дугаар авсан;5
Lexus NX, 2015/2023;75 сая ₮;2.5 л;Автомат;Буруу;Жийп;Хар;2015;2023;Хайбрид;Хар;Банкны лизингтэй;Sain Motors;Урдаа FWD;135000 км.;Дугаар аваагүй;5
Toyota Harrier, 2014/2023;68 сая ₮;2.5 л;Автомат;Буруу;Жийп;Сувдан цагаан;2014;2023;Хайбрид;Хар;Банкны лизингтэй;Sain Motors;Бүх дугуй 4WD;170000 км.;Дугаар аваагүй;5
Toyota Crown, 2014/2022;48 сая ₮;2.5 л;Автомат;Буруу;Суудлын тэрэг;Сувдан цагаан;2014;2022;Хайбрид;Хар;Лизинггүй;Hunnu2222;Хойноо RWD;0 км.;Дугаар авсан;5
Toyota Prius 30, 2012/2022;22 сая ₮;1.8 л;Автомат;Буруу;Суудлын тэрэг;Хар;2012;2022;Хайбрид;Хар;Лизинггүй;Схд;Урдаа FWD;180 км.;Дугаар авсан;5
Toyota Hilux, 2006/2021;50 сая ₮;2.7 л;Автомат;Буруу;Жийп;Хар;2006;2021;Бензин;Саарал;Лизинггүй;orkhon aimag;Бүх дугуй 4WD;226000 км.;Дугаар авсан;5
Lexus LS, 2007/2016;22 сая ₮;5.0 л;Автомат;Буруу;Суудлын тэрэг;Хар;2007;2016;Хайбрид;Шаргал;Лизинггүй;Khan uul duureg;Бүх дугуй 4WD;12345 км.;Дугаар авсан;4
Toyota Land Cruiser Prado, 2022/2022;145 сая ₮;2.7 л;Автомат;Зөв;Жийп;Хар саарал;2022;2022;Бензин;Цагаан шар;Лизинггүй;han-uul;Бүх дугуй 4WD;10000 км.;Дугаар авсан;5
Toyota Prius 30, 2010/2019;17.8 сая ₮;1.8 л;Автомат;Буруу;Суудлын тэрэг;Улаан;2010;2019;Хайбрид;Хар;Лизинггүй;narantuul;Урдаа FWD;170000 км.;Дугаар авсан;5
Toyota Harrier, 2006/2019;27 сая ₮;3.3 л;Автомат;Буруу;Жийп;Хар;2006;2019;Бензин;Хар;Лизинггүй;bgd;Бүх дугуй 4WD;280 км.;Дугаар авсан;5
Toyota Бусад, 2014/2023;55 сая ₮;2.0 л;Автомат;Буруу;Суудлын тэрэг;Хар;2014;2023;Бензин;Хар;Банкны лизингтэй;baynburd;Хойноо RWD;90000 км.;Дугаар аваагүй;2
Toyota 4Runner, 2021/2022;200 сая ₮;4.0 л;Автомат;Зөв;Жийп;Цагаан;2021;2022;Бензин;Хар;Лизинггүй;Songinohairhan duureg 32 r horoo;Бүх дугуй 4WD;1000 км.;Дугаар авсан;5
Suzuki Бусад, 2015/2023;20.4 сая ₮;0.6 л;Автомат;Буруу;Суудлын тэрэг;Саарал;2015;2023;Хайбрид;Саарал;Банкны лизингтэй;baynburd;Бүх дугуй 4WD;160000 км.;Дугаар аваагүй;5
Toyota Prius 50, 2016/2023;35 сая ₮;1.8 л;Автомат;Буруу;Суудлын тэрэг;Хар;2016;2023;Хайбрид;Хар;ББСБ лизингтэй;3-4р хороолол;Урдаа FWD;156619 км.;Дугаар аваагүй;5
Toyota Crown, 2007/2017;8.5 сая ₮;2.0 л;Автомат;Буруу;Суудлын тэрэг;Хар;2007;2017;Бензин;Саарал;Лизинггүй;3,4r horoolol;Хойноо RWD;150000 км.;Дугаар авсан;4
Toyota Mark, 2003/2012;6 сая ₮;2.0 л;Автомат;Буруу;Суудлын тэрэг;Сувдан цагаан;2003;2012;Бензин;Саарал;Лизинггүй;Улаанбаатар;Хойноо RWD;182500 км.;Дугаар авсан;5
Toyota Aqua, 2012/2019;13 сая ₮;1.3 л;Автомат;Буруу;Суудлын тэрэг;Цагаан;2012;2019;Хайбрид;Хар;Лизинггүй;схдүүрэг;Урдаа FWD;1400000 км.;Дугаар авсан;4
Toyota Prius 30, 2012/2022;22.5 сая ₮;1.5 л;Автомат;Буруу;Суудлын тэрэг;Хар;2012;2022;Бензин;Хар;Лизинггүй;hud;Бүх дугуй 4WD;150000 км.;Шинэ;4
Toyota Fielder, 2005/2014;9.9 сая ₮;1.5 л;Автомат;Буруу;Суудлын тэрэг;Цагаан;2005;2014;Бензин;Шаргал;Лизинггүй;Bgd;Урдаа FWD;99 км.;Дугаар авсан;5
Lexus RX, 2006/2013;24.8 сая ₮;3.5 л;Автомат;Зөв;Гэр бүлийн;Хөх;2006;2013;Хайбрид;Шаргал;Лизинггүй;ulaanbaatar;Урдаа FWD;130000 км.;Дугаар авсан;5
Toyota Prius 40, 41, 2012/2023;31 сая ₮;1.8 л;Автомат;Буруу;Суудлын тэрэг;Сувдан цагаан;2012;2023;Хайбрид;Хар;Лизинггүй;Улаанбаатар;Урдаа FWD;150000 км.;Дугаар авсан;5
Kia Optima/K5, 2011/2017;10.5 сая ₮;2.0 л;Механик;Зөв;Суудлын тэрэг;Саарал;2011;2017;Газ;Хар;Лизинггүй;УБ хот БГД Гэмтэлийн эмнэлэг;Урдаа FWD;100000 км.;Дугаар авсан;5
Mitsubishi RVR, 2010/2018;22.5 сая ₮;1.7 л;Автомат;Буруу;Суудлын тэрэг;Хөх;2010;2018;Бензин;Бусад;Лизинггүй;Бгд;Бүх дугуй 4WD;219463 км.;Дугаар авсан;5
Toyota Prius 40, 41, 2012/2023;31.5 сая ₮;1.8 л;Автомат;Буруу;Суудлын тэрэг;Цагаан;2012;2023;Хайбрид;Саарал;ББСБ лизингтэй;БЗД 13 хороолол;Урдаа FWD;290 км.;Дугаар авсан;5
Ford Transit, 2012/2018;25 сая ₮;2.4 л;Механик;Зөв;Гэр бүлийн;Шар;2012;2018;Дизель;Шаргал;Лизинггүй;Bzd Tsaiz;Урдаа FWD;120 км.;Дугаар авсан;6
Mazda Verisa, 2011/2021;10 сая ₮;1.5 л;Автомат;Буруу;Суудлын тэрэг;Улаан;2011;2021;Бензин;Шаргал;Лизинггүй;Ofitser;Урдаа FWD;130 км.;Дугаар авсан;5
Toyota RAV4, 2013/2014;44 сая ₮;2.5 л;Автомат;Зөв;Гэр бүлийн;Цэнхэр;2013;2014;Бензин;Хар;Лизинггүй;nan;Урдаа FWD;75000 км.;Дугаар авсан;4
Toyota Estima, 2009/2018;17 сая ₮;2.4 л;Автомат;Буруу;Гэр бүлийн;Саарал;2009;2018;Бензин;Цагаан шар;Лизинггүй;Улаанбаатар;Бүх дугуй 4WD;202000 км.;Дугаар авсан;5
Ford Transit, 2013/2023;45 сая ₮;2.3 л;Механик;Зөв;Гэр бүлийн;Цагаан;2013;2023;Дизель;Саарал;Лизинггүй;Улаанбаатар;Хойноо RWD;110 км.;Дугаар авсан;4
Kia Sportage, 2010/2013;18 сая ₮;2.0 л;Автомат;Зөв;Жийп;Цагаан;2010;2013;Дизель;Шаргал;Лизинггүй;ub;Урдаа FWD;170 км.;Дугаар авсан;5
Toyota Harrier, 2004/2014;19 сая ₮;2.4 л;Автомат;Буруу;Жийп;Хар;2004;2014;Бензин;Шаргал;Лизинггүй;Хан-Уул;Бүх дугуй 4WD;232000 км.;Дугаар авсан;5
Toyota Sai, 2015/2019;29.5 сая ₮;2.4 л;Автомат;Буруу;Суудлын тэрэг;Саарал;2015;2019;Хайбрид;Хар;Лизинггүй;ub;Урдаа FWD;60000 км.;Дугаар авсан;5
Toyota Fielder, 2009/2018;13.3 сая ₮;1.5 л;Автомат;Буруу;Суудлын тэрэг;Хар;2009;2018;Бензин;Саарал;Лизинггүй;схдүүрэг;Урдаа FWD;150000 км.;Дугаар авсан;4
Subaru Forester, 2004/2015;16 сая ₮;2.0 л;Механик;Буруу;Жийп;Цагаан;2004;2015;Бензин;Хар;Лизинггүй;jukow;Бүх дугуй 4WD;15700000 км.;Дугаар авсан;5
Toyota Allion, 2003/2012;5.2 сая ₮;1.8 л;Автомат;Буруу;Суудлын тэрэг;Саарал;2003;2012;Бензин;Саарал;Лизинггүй;5н буудал ждү төв;Бүх дугуй 4WD;184480 км.;Дугаар авсан;4
Mitsubishi L200, 2007/2021;33 сая ₮;2.7 л;Автомат;Буруу;Жийп;Саарал;2007;2021;Дизель;Саарал;Лизинггүй;Ulaanbaatar;Бүх дугуй 4WD;100000 км.;Дугаар авсан;5
SsangYong Rexton, 2019/2021;65 сая ₮;2.2 л;Автомат;Зөв;Жийп;Хөх;2019;2021;Дизель;Хар;Лизинггүй;Бзд;Бүх дугуй 4WD;100000 км.;Дугаар авсан;4
Toyota Prius 40, 41, 2013/2023;36 сая ₮;1.6 л;Автомат;Буруу;Суудлын тэрэг;Хар;2013;2023;Хайбрид;Саарал;Лизинггүй;han uul;Урдаа FWD;110000 км.;Дугаар аваагүй;5
Toyota Prius 20, 2010/2023;23.5 сая ₮;1.5 л;Автомат;Буруу;Суудлын тэрэг;Цагаан;2010;2023;Хайбрид;Саарал;ББСБ лизингтэй;3,4r horooll;Урдаа FWD;1220000 км.;Дугаар аваагүй;5
Toyota Prius 30, 2013/2022;21 сая ₮;1.5 л;Автомат;Буруу;Суудлын тэрэг;Сувдан цагаан;2013;2022;Хайбрид;Цагаан шар;Лизинггүй;nan;Урдаа FWD;1000 км.;Дугаар авсан;4
Ford Explorer, 2013/2022;65 сая ₮;3.5 л;Автомат;Зөв;Жийп;Цэнхэр;2013;2022;Бензин;Хар;Лизинггүй;ЧД, СУИС төв замын урд талд, ЧД эмнэлгийн ертөнцийн зүгээр зүүн талд;Бүх дугуй 4WD;146459 км.;Дугаар авсан;5
Honda HR-V, 2019/2023;50 сая ₮;1.8 л;Автомат;Буруу;Гэр бүлийн;Цагаан;2019;2023;Бензин;Шаргал;ББСБ лизингтэй;БЗД;Урдаа FWD;18000 км.;Дугаар аваагүй;5
Toyota Isis, 2013/2021;21 сая ₮;1.8 л;Автомат;Буруу;Суудлын тэрэг;Бор;2013;2021;Бензин;Хар;Лизинггүй;nan;Бүх дугуй 4WD;101000 км.;Дугаар авсан;5
Lexus RX, 2013/2018;55 сая ₮;3.5 л;Автомат;Зөв;Жийп;Хөх;2013;2018;Хайбрид;Шаргал;Лизинггүй;БЗД;Урдаа FWD;132197 км.;Дугаар авсан;5
Toyota Land Cruiser Prado, 2023/2023;145 сая ₮;2.7 л;Автомат;Буруу;Жийп;Улаан;2023;2023;Бензин;Шаргал;Банкны лизингтэй;📍Захиалгийн оффис;Бүх дугуй 4WD;2000 км.;Шинэ;5
Toyota Prius 30, 2014/2022;20 сая ₮;1.8 л;Автомат;Буруу;Суудлын тэрэг;Шар;2014;2022;Бензин;Хар;Лизинггүй;Хан-уул дүүрэг Таван богдын замын эсрэг тал;Урдаа FWD;187000 км.;Дугаар авсан;4
