Машины марк;Үнэ;Моторын багтаамж;Хурдны хайрцаг;Хүрд;Төрөл;Өнгө;Үйлдвэрлэсэн он;Орж ирсэн он;Хөдөлгүүр;Дотор өнгө;Лизинг;Хаяг;Хөтлөгч;Явсан;Нөхцөл;Хаалга
Toyota Harrier, 2005/2015;25 сая ₮;3.3 л;Автомат;Буруу;Жийп;Саарал;2005;2015;Хайбрид;Хар;Лизинггүй;ХУД;Бүх дугуй 4WD;200 км.;Дугаар авсан;5
Toyota Highlander, 2009/2018;42 сая ₮;3.3 л;Автомат;Зөв;Жийп;Бусад;2009;2018;Хайбрид;Цагаан шар;Лизинггүй;ub;Бүх дугуй 4WD;100000 км.;Дугаар авсан;5
Toyota Crown, 2016/2020;36 сая ₮;2.5 л;Автомат;Буруу;Суудлын тэрэг;Хөх;2016;2020;Хайбрид;Хар;Лизинггүй;19 horoolol;Хойноо RWD;158000 км.;Дугаар авсан;5
Toyota Sai, 2011/2021;24 сая ₮;2.4 л;Автомат;Буруу;Суудлын тэрэг;Хар;2011;2021;Хайбрид;Хар;Лизинггүй;бгд;Урдаа FWD;76677 км.;Дугаар авсан;4
Toyota Harrier, 2012/2022;47 сая ₮;2.4 л;Автомат;Буруу;Жийп;Хар;2012;2022;Бензин;Хар;Лизинггүй;ub;Бүх дугуй 4WD;110000 км.;Дугаар авсан;5
Lexus RX, 2013/2019;60 сая ₮;3.5 л;Автомат;Зөв;Гэр бүлийн;Хар;2013;2019;Бензин;Хар;Лизинггүй;khan uul;Бүх дугуй 4WD;89000 км.;Дугаар авсан;5
Toyota Prius 30, 2015/2023;24.5 сая ₮;1.8 л;Автомат;Буруу;Суудлын тэрэг;Саарал;2015;2023;Хайбрид;Хар;Хувь лизингтэй;Зурагт шинэ эцэс;Урдаа FWD;280000 км.;Дугаар аваагүй;5
Audi Q5, 2016/2019;11 сая ₮;0.4 л;Автомат;Буруу;Гэр бүлийн;Цагаан;2016;2019;Дизель;Хар;Лизинггүй;nan;Бүх дугуй 4WD;1111 км.;Дугаар авсан;4
Toyota Prius 30, 2013/2021;20 сая ₮;1.8 л;Автомат;Буруу;Суудлын тэрэг;Хар;2013;2021;Бензин;Хар;Лизинггүй;УБ Баянгол;Урдаа FWD;250000 км.;Дугаар авсан;5
Mercedes-Benz S-Class, 2014/2022;120 сая ₮;3.5 л;Автомат;Зөв;Суудлын тэрэг;Сувдан цагаан;2014;2022;Бензин;Хар;Лизинггүй;БЗД;Хойноо RWD;102000 км.;Дугаар авсан;5
Toyota Probox, 2005/2014;5 сая ₮;2.0 л;Автомат;Буруу;Суудлын тэрэг;Цагаан;2005;2014;Бензин;Хар;Лизинггүй;Uliastai;Урдаа FWD;1611 км.;Дугаар авсан;4
Toyota Vanguard, 2012/2022;32 сая ₮;2.4 л;Автомат;Буруу;Гэр бүлийн;Хар;2012;2022;Бензин;Хар;Лизинггүй;ulaanbaatar;Урдаа FWD;99500 км.;Дугаар авсан;5
Toyota Land Cruiser Prado, 2005/2022;67 сая ₮;3.4 л;Автомат;Буруу;Жийп;Сувдан цагаан;2005;2022;Бензин;Саарал;Лизинггүй;Орон нутаг;Бүх дугуй 4WD;174000 км.;Дугаар авсан;5
Toyota Crown, 2011/2022;29.8 сая ₮;3.3 л;Автомат;Буруу;Суудлын тэрэг;Хар;2011;2022;Хайбрид;Бусад;Лизинггүй;Bgd;Хойноо RWD;154000 км.;Дугаар авсан;4
Toyota Land Cruiser 100, 2002/2008;35 сая ₮;5.4 л;Автомат;Зөв;Жийп;Саарал;2002;2008;Бензин;Саарал;Лизинггүй;baynzurkh;Бүх дугуй 4WD;12000 км.;Дугаар авсан;4
Toyota Prius 10, 11, 2002/2015;6 сая ₮;6.0 л;Автомат;Зөв;Суудлын тэрэг;Хар;2002;2015;Бензин;Хар;Лизинггүй;Улаанбаатар;Урдаа FWD;180000 км.;Дугаар авсан;4
Toyota Crown, 2015/2022;49 сая ₮;2.5 л;Автомат;Буруу;Суудлын тэрэг;Бор;2015;2022;Хайбрид;Бусад;Лизинггүй;Улаанбаатар;Бүх дугуй 4WD;89000 км.;Дугаар авсан;4
Subaru Forester, 2014/2023;45 сая ₮;2.0 л;Автомат;Буруу;Жийп;Шар;2014;2023;Бензин;Хар;Банкны лизингтэй;БГД, 3-4р хороолол, Бичил МТ колонкоос хойш 800м;Бүх дугуй 4WD;106000 км.;Дугаар аваагүй;5
Lexus RX, 2012/2022;66.5 сая ₮;3.5 л;Автомат;Буруу;Гэр бүлийн;Саарал;2012;2022;Хайбрид;Цагаан шар;Лизинггүй;yarmag;Бүх дугуй 4WD;130000 км.;Дугаар авсан;5
Toyota Harrier, 2005/2016;24.8 сая ₮;3.3 л;Автомат;Буруу;Жийп;Хар;2005;2016;Хайбрид;Хар;ББСБ лизингтэй;Horoolol;Бүх дугуй 4WD;133 км.;Дугаар авсан;5
Toyota Wish, 2007/2016;11.3 сая ₮;1.5 л;Автомат;Буруу;Гэр бүлийн;Саарал;2007;2016;Бензин;Хар;Лизинггүй;officer;Бүх дугуй 4WD;111 км.;Дугаар авсан;5
Toyota Harrier, 2006/2021;38 сая ₮;3.3 л;Автомат;Буруу;Жийп;Саарал;2006;2021;Хайбрид;Саарал;Лизинггүй;СБД;Бүх дугуй 4WD;185000 км.;Дугаар авсан;4
Toyota Prius 30, 2012/2021;21 сая ₮;1.8 л;Автомат;Буруу;Суудлын тэрэг;Сувдан цагаан;2012;2021;Хайбрид;Саарал;Банкны лизингтэй;3,4;Урдаа FWD;120000 км.;Дугаар авсан;4
Lexus HS, 2011/2023;37 сая ₮;2.4 л;Автомат;Буруу;Суудлын тэрэг;Бусад;2011;2023;Хайбрид;Шаргал;ББСБ лизингтэй;sapporo;Урдаа FWD;148000 км.;Дугаар аваагүй;5
Hyundai Starex, 2011/2021;23 сая ₮;2.5 л;Автомат;Зөв;Гэр бүлийн;Саарал;2011;2021;Дизель;Саарал;Лизинггүй;Улаанбаатар хот;Бүх дугуй 4WD;100000 км.;Дугаар авсан;5
